Date : 2025-04-19 07:48:48
Directory : y:\github\webstress-api
Total : 247 files,  26871 codes, 859 comments, 3159 blanks, all 30889 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| y:\github\webstress-api\assets\branding\new\js\user\shop\shop5.js       | JavaScript              |        166 |         11 |         24 |        201 |
| y:\github\webstress-api\assets\branding\new\js\user\shop\transaction.js | JavaScript              |         85 |          8 |         15 |        108 |
| y:\github\webstress-api\assets\client\attack.go                         | Go                      |         83 |          6 |         12 |        101 |
| y:\github\webstress-api\assets\client\client.go                         | Go                      |         95 |          4 |         11 |        110 |
| y:\github\webstress-api\assets\client\config.go                         | Go                      |         25 |          0 |          5 |         30 |
| y:\github\webstress-api\assets\client\config.json                       | JSON                    |          8 |          0 |          1 |          9 |
| y:\github\webstress-api\assets\client\go.mod                            | Go Module File          |          2 |          0 |          2 |          4 |
| y:\github\webstress-api\assets\client\message.go                        | Go                      |        119 |          5 |         16 |        140 |
| y:\github\webstress-api\assets\client\methods.go                        | Go                      |         17 |          0 |          4 |         21 |
| y:\github\webstress-api\assets\client\methods.json                      | JSON                    |          9 |          0 |          0 |          9 |
| y:\github\webstress-api\assets\config\apis.json                         | JSON                    |         39 |          0 |          1 |         40 |
| y:\github\webstress-api\assets\config\bot.py                            | Python                  |          0 |          0 |          1 |          1 |
| y:\github\webstress-api\assets\config\config.json                       | JSON                    |         14 |          0 |          0 |         14 |
| y:\github\webstress-api\assets\config\methods.json                      | JSON                    |        122 |          0 |          1 |        123 |
| y:\github\webstress-api\assets\config\plans.json                        | JSON                    |        121 |          0 |          0 |        121 |
| y:\github\webstress-api\assets\config\servers.json                      | JSON                    |          5 |          0 |          1 |          6 |
| y:\github\webstress-api\assets\database.db                              | sqlite3-editor-database |      2,745 |          0 |        149 |      2,894 |
| y:\github\webstress-api\assets\database.sql                             | MS SQL                  |        108 |          0 |          9 |        117 |
| y:\github\webstress-api\assets\html\404.html                            | HTML                    |          1 |          0 |          0 |          1 |
| y:\github\webstress-api\assets\html\admin\chat.html                     | HTML                    |        122 |          2 |          8 |        132 |
| y:\github\webstress-api\assets\html\admin\dashV2.html                   | HTML                    |         79 |          3 |          7 |         89 |
| y:\github\webstress-api\assets\html\admin\editUser.html                 | HTML                    |        102 |          3 |          8 |        113 |
| y:\github\webstress-api\assets\html\admin\servers.html                  | HTML                    |        489 |         26 |         28 |        543 |
| y:\github\webstress-api\assets\html\admin\settings.html                 | HTML                    |        390 |          5 |         33 |        428 |
| y:\github\webstress-api\assets\html\admin\tickets.html                  | HTML                    |        190 |          0 |         17 |        207 |
| y:\github\webstress-api\assets\html\admin\ul.html                       | HTML                    |        355 |         25 |         31 |        411 |
| y:\github\webstress-api\assets\html\api\api.html                        | HTML                    |        265 |          4 |          9 |        278 |
| y:\github\webstress-api\assets\html\attack\attack.html                  | HTML                    |         90 |          3 |          6 |         99 |
| y:\github\webstress-api\assets\html\construction.html                   | HTML                    |         27 |          1 |          2 |         30 |
| y:\github\webstress-api\assets\html\dstat\index.html                    | HTML                    |        115 |          0 |         16 |        131 |
| y:\github\webstress-api\assets\html\landing\index.html                  | HTML                    |        168 |          9 |         19 |        196 |
| y:\github\webstress-api\assets\html\login\login.html                    | HTML                    |         92 |          0 |          5 |         97 |
| y:\github\webstress-api\assets\html\nav.html                            | HTML                    |        187 |          2 |          6 |        195 |
| y:\github\webstress-api\assets\html\user\account.html                   | HTML                    |        434 |         24 |         27 |        485 |
| y:\github\webstress-api\assets\html\user\chats.html                     | HTML                    |        190 |          1 |         30 |        221 |
| y:\github\webstress-api\assets\html\user\dash.html                      | HTML                    |        219 |          2 |         12 |        233 |
| y:\github\webstress-api\assets\html\user\deposit.html                   | HTML                    |         50 |          2 |          6 |         58 |
| y:\github\webstress-api\assets\html\user\faq.html                       | HTML                    |        421 |          2 |         57 |        480 |
| y:\github\webstress-api\assets\html\user\newTicket.html                 | HTML                    |        205 |          2 |         13 |        220 |
| y:\github\webstress-api\assets\html\user\transaction.html               | HTML                    |         73 |          0 |          4 |         77 |
| y:\github\webstress-api\assets\html\user\upgrade.html                   | HTML                    |         27 |          2 |          1 |         30 |
| y:\github\webstress-api\assets\servers.static.html                      | HTML                    |         23 |          0 |          0 |         23 |
| y:\github\webstress-api\assets\tgbot\config.json                        | JSON                    |         14 |          0 |          1 |         15 |
| y:\github\webstress-api\assets\tgbot\core\api\api.go                    | Go                      |         14 |         54 |          4 |         72 |
| y:\github\webstress-api\assets\tgbot\core\api\index.go                  | Go                      |         12 |          0 |          3 |         15 |
| y:\github\webstress-api\assets\tgbot\core\commands\auth.go              | Go                      |         27 |          2 |          8 |         37 |
| y:\github\webstress-api\assets\tgbot\core\commands\info.go              | Go                      |         19 |          1 |          7 |         27 |
| y:\github\webstress-api\assets\tgbot\core\commands\start.go             | Go                      |         38 |          0 |          5 |         43 |
| y:\github\webstress-api\assets\tgbot\core\handler.go                    | Go                      |         49 |         25 |         10 |         84 |
| y:\github\webstress-api\assets\tgbot\core\route.go                      | Go                      |         15 |          0 |          2 |         17 |
| y:\github\webstress-api\assets\tgbot\database.db                        | sqlite3-editor-database |      2,749 |          0 |        148 |      2,897 |
| y:\github\webstress-api\assets\tgbot\database\init.go                   | Go                      |         45 |          3 |         11 |         59 |
| y:\github\webstress-api\assets\tgbot\database\tokens.go                 | Go                      |         39 |          0 |          8 |         47 |
| y:\github\webstress-api\assets\tgbot\database\users.go                  | Go                      |         55 |          1 |          8 |         64 |
| y:\github\webstress-api\assets\tgbot\go.mod                             | Go Module File          |          9 |          0 |          4 |         13 |
| y:\github\webstress-api\assets\tgbot\go.sum                             | Go Checksum File        |         10 |          0 |          1 |         11 |
| y:\github\webstress-api\assets\tgbot\main.go                            | Go                      |         23 |          0 |          3 |         26 |
| y:\github\webstress-api\assets\tgbot\models\bot\send.go                 | Go                      |         31 |          3 |         10 |         44 |
| y:\github\webstress-api\assets\tgbot\models\bot\start.go                | Go                      |         16 |          0 |          4 |         20 |
| y:\github\webstress-api\assets\tgbot\models\config.go                   | Go                      |         45 |          2 |          9 |         56 |
| y:\github\webstress-api\assets\tgbot\models\server\server.go            | Go                      |         13 |          0 |          3 |         16 |
| y:\github\webstress-api\assets\tgbot\models\sessions\session.go         | Go                      |         30 |          1 |          8 |         39 |
| y:\github\webstress-api\core\database\api.go                            | Go                      |         78 |          3 |         13 |         94 |
| y:\github\webstress-api\core\database\attacks.go                        | Go                      |        185 |          0 |         23 |        208 |
| y:\github\webstress-api\core\database\db.go                             | Go                      |         13 |          0 |          6 |         19 |
| y:\github\webstress-api\core\database\hash.go                           | Go                      |         18 |          1 |          7 |         26 |
| y:\github\webstress-api\core\database\init.go                           | Go                      |         38 |          1 |          8 |         47 |
| y:\github\webstress-api\core\database\invites.go                        | Go                      |         26 |          0 |          5 |         31 |
| y:\github\webstress-api\core\database\news.go                           | Go                      |         51 |          0 |          8 |         59 |
| y:\github\webstress-api\core\database\ranks.go                          | Go                      |         90 |          3 |         10 |        103 |
