"filename", "language", "Go Checksum File", "Go", "HTML", "Go Module File", "Markdown", "MS SQL", "sqlite3-editor-database", "JSON", "Python", "CSS", "JavaScript", "comment", "blank", "total"
"y:\github\webstress-api\assets\html\admin\tickets.html", "HTML", 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 207
"y:\github\webstress-api\assets\html\admin\ul.html", "HTML", 0, 0, 355, 0, 0, 0, 0, 0, 0, 0, 0, 25, 31, 411
"y:\github\webstress-api\assets\html\api\api.html", "HTML", 0, 0, 265, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 278
"y:\github\webstress-api\assets\html\attack\attack.html", "HTML", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 99
"y:\github\webstress-api\assets\html\construction.html", "HTML", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 30
"y:\github\webstress-api\assets\html\dstat\index.html", "HTML", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 131
"y:\github\webstress-api\assets\html\landing\index.html", "HTML", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 9, 19, 196
"y:\github\webstress-api\assets\html\login\login.html", "HTML", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 97
"y:\github\webstress-api\assets\html\nav.html", "HTML", 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 195
"y:\github\webstress-api\assets\html\user\account.html", "HTML", 0, 0, 434, 0, 0, 0, 0, 0, 0, 0, 0, 24, 27, 485
"y:\github\webstress-api\assets\html\user\chats.html", "HTML", 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30, 221
"y:\github\webstress-api\assets\html\user\dash.html", "HTML", 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 233
"y:\github\webstress-api\assets\html\user\deposit.html", "HTML", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 58
"y:\github\webstress-api\assets\html\user\faq.html", "HTML", 0, 0, 421, 0, 0, 0, 0, 0, 0, 0, 0, 2, 57, 480
"y:\github\webstress-api\assets\html\user\newTicket.html", "HTML", 0, 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 220
"y:\github\webstress-api\assets\html\user\transaction.html", "HTML", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 77
"y:\github\webstress-api\assets\html\user\upgrade.html", "HTML", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 30
"y:\github\webstress-api\assets\servers.static.html", "HTML", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"y:\github\webstress-api\assets\tgbot\config.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"y:\github\webstress-api\assets\tgbot\core\api\api.go", "Go", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 4, 72
"y:\github\webstress-api\assets\tgbot\core\api\index.go", "Go", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"y:\github\webstress-api\assets\tgbot\core\commands\auth.go", "Go", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 37
"y:\github\webstress-api\assets\tgbot\core\commands\info.go", "Go", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 27
"y:\github\webstress-api\assets\tgbot\core\commands\start.go", "Go", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"y:\github\webstress-api\assets\tgbot\core\handler.go", "Go", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 10, 84
"y:\github\webstress-api\assets\tgbot\core\route.go", "Go", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"y:\github\webstress-api\assets\tgbot\database.db", "sqlite3-editor-database", 0, 0, 0, 0, 0, 0, 2749, 0, 0, 0, 0, 0, 148, 2897
"y:\github\webstress-api\assets\tgbot\database\init.go", "Go", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 59
"y:\github\webstress-api\assets\tgbot\database\tokens.go", "Go", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"y:\github\webstress-api\assets\tgbot\database\users.go", "Go", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 64
"y:\github\webstress-api\assets\tgbot\go.mod", "Go Module File", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"y:\github\webstress-api\assets\tgbot\go.sum", "Go Checksum File", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"y:\github\webstress-api\assets\tgbot\main.go", "Go", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"y:\github\webstress-api\assets\tgbot\models\bot\send.go", "Go", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 44
"y:\github\webstress-api\assets\tgbot\models\bot\start.go", "Go", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"y:\github\webstress-api\assets\tgbot\models\config.go", "Go", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 56
"y:\github\webstress-api\assets\tgbot\models\server\server.go", "Go", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"y:\github\webstress-api\assets\tgbot\models\sessions\session.go", "Go", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 39
"y:\github\webstress-api\core\database\api.go", "Go", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 94
"y:\github\webstress-api\core\database\attacks.go", "Go", 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 208
"y:\github\webstress-api\core\database\db.go", "Go", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"y:\github\webstress-api\core\database\hash.go", "Go", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 26
